Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DC power suply.PrjPcb|ReportField=ProjectFullPath~D:\ASTRAL TECHNOLOGIES\DC power supply\DC power suply\DC power suply.PrjPcb|ReportField=Title~Bill of Materials For Project [DC power suply.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~20|ReportField=ReportTime~9:53:19 PM|ReportField=ReportDate~12/22/2020|ReportField=ReportDateTime~12/22/2020 9:53:19 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/22/2020|ReportField=CurrentTime~9:53:11 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\ASTRAL TECHNOLOGIES\DC power supply\DC power suply\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12/22/2020|ReportField=Organization~|ReportField=ProjectName~DC power suply.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DC power suply.PrjPcb|ReportField=DataSourceFullPath~D:\ASTRAL TECHNOLOGIES\DC power supply\DC power suply\DC power suply.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1000uF 16v|4700ÂµF 10V Aluminum Electrolytic Capacitors Radial, Can 98.8mOhm @ 120Hz 2000 Hrs @ 85Â°C|C1|CAPPRD500W60D1330H2700|478CKS010M|1
2|104pF|Capacitor|C2|B32520C3104K000|B32520C3104K000|1
3|1N4007|Diode|D1, D2, D3, D4|DIOAD1138W56L406D183|1N4678__DO35_|4
4|282825-4|14 Position Terminal Block Header, Male Pins, Shrouded _2 Side_ 0.200 _5.08mm_ Vertical Through Hole|J1, J8|TE_282825-4|282825-4|2
5|12volt connector|Connector Header Through Hole 2 position 0.098 _2.50mm_|J2|JST_B2B-XH-A(LF)(SN)|B2B-XH-A(LF)(SN)|1
6|Socket|Socket|J3, J4, J5, J6|PIN1|Socket|4
7|5v connector|Connector Header Through Hole 2 position 0.098 _2.50mm_|J7|JST_B2B-XH-A(LF)(SN)|B2B-XH-A(LF)(SN)|1
8|USB-A-S-X-X-SM2|USB-A (USB TYPE-A) USB 2.0 Receptacle Connector 4 Position Surface Mount, Right Angle|J9|SAMTEC_USB-A-S-X-X-SM2|USB-A-S-X-X-SM2|1
9|LED|DIP LED Green-Vaporous Green-10mm|LED1|LED2-2.54-D10MM|DIP-LED-GREEN-VAPOROUS-GREEN-10MM(2P-D10MM)|1
10|LM7805CT/NOPB|Linear Voltage Regulator IC 1 Output 1A TO-220-3|Q1|TO254P1054X470X2600-3|LM7805CT/NOPB|1
11||Semiconductor Resistor|R1|AXIAL-0.5|Res Semi|1
12|6pin button|Switch|S1|MPSA22E080150|MPSA-22E08-0150|1
13|connector|2 Position Wire to Board Terminal Block Horizontal with Board 0.150 _3.81mm_ Through Hole|XA1|PHOENIX_MKDS1/2-3.81|MKDS1/2-3.81|1
